Comment,Designator,Footprint,LCSC
10uF,"C1,C12,C2,C5,C7,C8",C_0603_1608Metric,C19702
1uF,"C10,C20,C22,C6,C9",C_0402_1005Metric,C52923
100nF,"C11,C13,C14,C15,C18,C19,C21,C23,C4",C_0402_1005Metric,C1525
12pF,"C16,C17",C_0402_1005Metric,C1547
2.2uF,C3,C_0603_1608Metric,C23630
ESD9B5.0,D1,D_SOD-923,C3008065
ESD9B3.3,D2,D_SOD-923,C96512
TYPE-C-31-M-12,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
FH12A-10S-0.5SH [HAND-PLACE],J2,Hirose_FH12-10S-0.5SH_1x10-1MP_P0.50mm_Horizontal,C5139870
SM02B-SRSS-TB,J3,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,C160402
2.2uH,"L1,L2",L_Murata_DFE201612E_2016,C337893
47k,R1,R_0402_1005Metric,C25792
150k,R2,R_0402_1005Metric,C25755
4.7k,"R3,R4",R_0402_1005Metric,C25900
100k,"R5,R6",R_0402_1005Metric,C25741
100R,"R7,R8",R_0402_1005Metric,C25076
10k NTC,RT1,R_0402_1005Metric,C77131
PWR/SHIP,SW1,SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010,C110293
USER,SW2,SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010,C110293
"MDBT50Q-1MV2 [HAND-PLACE: DigiKey, LCSC OOS at design time]",U1,Raytac_MDBT50Q,C5118826
"nPM1300-QEAA-R7 [HAND-PLACE: DigiKey, LCSC OOS at design time]",U2,VQFN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm_ThermalVias,C7501206
BMI270,U3,Bosch_LGA-14_3x2.5mm_P0.5mm,C2836813
USBLC6-2SC6,U4,SOT-23-6,C7519
32.768kHz,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,C32346
